Year,Movie,"Categorization

Creative Type
Production Method
Source
Genre","MPAA
Rating",Distributor,Total for Year,Total in 2024 dollars,Tickets Sold
1995,Batman Forever,"Super Hero
Live Action
Based on Comic/Graphic Novel
Action",PG-13,Warner Bros.,"$184,137,034","$478,756,281","42,330,352"
1996,Independence Day,"Science Fiction
Live Action
Original Screenplay
Adventure",PG-13,20th Century Fox,"$306,169,255","$783,433,091","69,269,062"
1997,Men in Black,"Science Fiction
Live Action
Based on Comic/Graphic Novel
Action",PG-13,Sony Pictures,"$250,650,052","$617,614,829","54,607,854"
1998,Titanic,"Historical Fiction
Live Action
Original Screenplay
Drama",PG-13,Paramount Pictures,"$488,192,879","$1,177,283,890","104,092,298"
1999,Star Wars Ep. I: The Phantom Menace,"Science Fiction
Animation/Live Action
Original Screenplay
Adventure",PG,20th Century Fox,"$430,443,350","$958,329,574","84,732,942"
2000,How the Grinch Stole Christmas,"Kids Fiction
Live Action
Based on Fiction Book/Short Story
Adventure",PG,Universal,"$251,629,105","$528,000,960","46,684,435"
2001,Harry Potter and the Sorcerer’s Stone,"Fantasy
Animation/Live Action
Based on Fiction Book/Short Story
Adventure",PG,Warner Bros.,"$288,493,000","$576,476,298","50,970,495"
2002,Spider-Man,"Super Hero
Live Action
Based on Comic/Graphic Novel
Adventure",PG-13,Sony Pictures,"$403,706,375","$785,872,477","69,484,746"
2003,Finding Nemo,"Kids Fiction
Digital Animation
Original Screenplay
Adventure",G,Walt Disney,"$339,714,367","$637,175,700","56,337,374"
2004,Shrek 2,"Kids Fiction
Digital Animation
Based on Fiction Book/Short Story
Adventure",PG,Dreamworks SKG,"$436,471,036","$794,925,510","70,285,191"
2005,Star Wars Ep. III: Revenge of the Sith,"Science Fiction
Animation/Live Action
Original Screenplay
Adventure",PG-13,20th Century Fox,"$380,270,577","$670,961,034","59,324,583"
2006,Pirates of the Caribbean: Dead Man’s Chest,"Historical Fiction
Live Action
Based on Theme Park Ride
Adventure",PG-13,Walt Disney,"$423,315,812","$730,946,842","64,628,368"
2007,Spider-Man 3,"Super Hero
Live Action
Based on Comic/Graphic Novel
Adventure",PG-13,Sony Pictures,"$336,530,303","$553,220,597","48,914,288"
2008,The Dark Knight,"Super Hero
Live Action
Based on Comic/Graphic Novel
Action",PG-13,Warner Bros.,"$531,001,578","$836,438,424","73,955,652"
2009,Transformers: Revenge of the Fallen,"Science Fiction
Animation/Live Action
Based on TV
Action",PG-13,Paramount Pictures,"$402,111,870","$606,384,700","53,614,916"
2010,Toy Story 3,"Kids Fiction
Digital Animation
Original Screenplay
Adventure",G,Walt Disney,"$415,004,880","$594,892,926","52,598,844"
2011,Harry Potter and the Deathly Hallows: Part II,"Fantasy
Animation/Live Action
Based on Fiction Book/Short Story
Adventure",PG-13,Warner Bros.,"$381,011,219","$543,409,444","48,046,812"
2012,The Avengers,"Super Hero
Animation/Live Action
Based on Comic/Graphic Novel
Action",PG-13,Walt Disney,"$623,357,910","$885,700,746","78,311,295"
2013,Iron Man 3,"Super Hero
Animation/Live Action
Based on Comic/Graphic Novel
Action",PG-13,Walt Disney,"$408,992,272","$568,967,114","50,306,553"
2014,Guardians of the Galaxy,"Super Hero
Animation/Live Action
Based on Comic/Graphic Novel
Action",PG-13,Walt Disney,"$332,965,525","$460,935,137","40,754,654"
2015,Jurassic World,"Science Fiction
Live Action
Based on Fiction Book/Short Story
Action",PG-13,Universal,"$652,270,625","$875,110,413","77,374,926"
2016,Finding Dory,"Kids Fiction
Digital Animation
Original Screenplay
Adventure",PG,Walt Disney,"$486,295,561","$635,838,473","56,219,140"
2017,Star Wars Ep. VIII: The Last Jedi,"Science Fiction
Animation/Live Action
Original Screenplay
Adventure",PG-13,Walt Disney,"$517,218,368","$652,144,903","57,660,911"
2018,Black Panther,"Super Hero
Live Action
Based on Comic/Graphic Novel
Action",PG-13,Walt Disney,"$700,059,566","$869,118,952","76,845,177"
2019,Avengers: Endgame,"Super Hero
Animation/Live Action
Based on Comic/Graphic Novel
Action",PG-13,Walt Disney,"$858,373,000","$1,059,847,014","93,708,843"
2020,Bad Boys For Life,"Contemporary Fiction
Live Action
Original Screenplay
Action",R,Sony Pictures,"$204,417,855","$251,848,139","22,267,740"
2021,Spider-Man: No Way Home,"Super Hero
Animation/Live Action
Based on Comic/Graphic Novel
Action",PG-13,Sony Pictures,"$572,984,769","$637,213,147","56,340,685"
2022,Top Gun: Maverick,"Contemporary Fiction
Live Action
Original Screenplay
Action",PG-13,Paramount Pictures,"$718,732,821","$771,972,284","68,255,728"
2023,Barbie,"Contemporary Fiction
Live Action
Based on Toy
Comedy",PG-13,Warner Bros.,"$636,225,983","$657,743,681","58,155,940"
2024,Inside Out 2,"Kids Fiction
Digital Animation
Original Screenplay
Adventure",PG,Walt Disney,"$652,980,194","$652,980,192","57,734,765"
2025,A Minecraft Movie,"Kids Fiction
Animation/Live Action
Based on Game
Adventure",PG,Warner Bros.,"$424,087,780","$424,087,779","37,496,709"
2026,Avatar: Fire and Ash,"Science Fiction
Animation/Live Action
Original Screenplay
Action",PG-13,20th Century Studios,"$142,952,375","$142,952,375","12,639,467"